# energy(eV) alpha
1.191789999999999949e+01 1.469497424567515554e+05
1.196540000000000070e+01 1.480791182179684693e+05
1.201290000000000013e+01 1.487137783086576383e+05
1.206029999999999980e+01 1.491212277989570866e+05
1.210779999999999923e+01 1.497908062097388320e+05
1.215530000000000044e+01 1.507661745550548367e+05
1.220279999999999987e+01 1.518302004269645258e+05
1.225029999999999930e+01 1.526774835606467968e+05
1.229770000000000074e+01 1.532476877915851364e+05
1.234520000000000017e+01 1.539999262676451763e+05
1.239269999999999960e+01 1.553107403835213336e+05
1.244020000000000081e+01 1.571823883599941328e+05
1.248770000000000024e+01 1.591516928108643333e+05
1.253519999999999968e+01 1.606359443980460346e+05
1.258259999999999934e+01 1.616900039166173665e+05
1.263010000000000055e+01 1.627135368141083163e+05
1.267759999999999998e+01 1.641044804958619352e+05
1.272509999999999941e+01 1.659179377110363275e+05
1.277260000000000062e+01 1.678532651278732519e+05
1.282000000000000028e+01 1.698202050540218770e+05
1.286749999999999972e+01 1.718461462798026623e+05
1.291499999999999915e+01 1.738539835094069422e+05
1.296250000000000036e+01 1.755521264308707614e+05
1.300999999999999979e+01 1.768379178696486924e+05
1.305739999999999945e+01 1.779087571065150260e+05
1.310490000000000066e+01 1.794552490281038918e+05
1.315240000000000009e+01 1.817067933514016622e+05
1.319989999999999952e+01 1.842516207833224908e+05
1.324740000000000073e+01 1.865795266625101503e+05
1.329490000000000016e+01 1.885453879620128719e+05
1.334229999999999983e+01 1.904185981809007935e+05
1.338979999999999926e+01 1.927196287048018130e+05
1.343730000000000047e+01 1.954349460143462347e+05
1.348479999999999990e+01 1.979341550507506181e+05
1.353229999999999933e+01 2.002270563857216912e+05
1.357970000000000077e+01 2.027333562391333689e+05
1.362720000000000020e+01 2.054832374846961757e+05
1.367469999999999963e+01 2.081827566930293979e+05
1.372220000000000084e+01 2.106881225299481302e+05
1.376970000000000027e+01 2.129009615513308963e+05
1.381719999999999970e+01 2.150579237903382163e+05
1.386459999999999937e+01 2.173923256946173497e+05
1.391210000000000058e+01 2.199896507256862242e+05
1.395960000000000001e+01 2.224897214820891095e+05
1.400709999999999944e+01 2.246913394241567294e+05
1.405460000000000065e+01 2.269118744232374884e+05
1.410200000000000031e+01 2.293267152343842026e+05
1.414949999999999974e+01 2.320578895963734249e+05
1.419699999999999918e+01 2.349594278690312931e+05
1.424450000000000038e+01 2.377806066078851873e+05
1.429199999999999982e+01 2.402932439708981838e+05
1.433949999999999925e+01 2.424281681410475576e+05
1.438690000000000069e+01 2.442008028713674285e+05
1.443440000000000012e+01 2.458410372648057528e+05
1.448189999999999955e+01 2.475385121942161641e+05
1.452940000000000076e+01 2.492055411583798996e+05
1.457690000000000019e+01 2.507942243983484805e+05
1.462429999999999986e+01 2.528150204225873167e+05
1.467179999999999929e+01 2.557041623810044548e+05
1.471930000000000049e+01 2.592826887616561435e+05
1.476679999999999993e+01 2.625753763905020896e+05
1.481429999999999936e+01 2.647745493906821939e+05
1.486180000000000057e+01 2.662752271104756510e+05
1.490920000000000023e+01 2.680883895240739803e+05
1.495669999999999966e+01 2.702747134950290783e+05
1.500420000000000087e+01 2.719266168329969514e+05
1.505170000000000030e+01 2.727280279759021359e+05
1.509919999999999973e+01 2.729861772937222850e+05
1.514659999999999940e+01 2.731210094690876431e+05
1.519410000000000061e+01 2.734221052744292538e+05
1.524160000000000004e+01 2.741034028212030535e+05
1.528909999999999947e+01 2.754635127140859258e+05
1.533660000000000068e+01 2.771951074719023891e+05
1.538400000000000034e+01 2.788057662848727196e+05
1.543149999999999977e+01 2.805466370056343148e+05
1.547899999999999920e+01 2.828628392008661758e+05
1.552650000000000041e+01 2.854755928876555990e+05
1.557399999999999984e+01 2.878451449306203867e+05
1.562149999999999928e+01 2.890048233432304114e+05
1.566890000000000072e+01 2.886953269113197457e+05
1.571640000000000015e+01 2.876689610131646623e+05
1.576389999999999958e+01 2.866600014281211770e+05
1.581140000000000079e+01 2.859472038741605938e+05
